Date,Name,Year,Letterboxd URI,Rating
2020-04-11,Snow Buddies,2008,https://boxd.it/1OQC,1.5
2020-04-11,Space Buddies,2009,https://boxd.it/1NsO,1
2020-04-11,Santa Buddies,2009,https://boxd.it/1wTo,1
2020-04-11,Beverly Hills Chihuahua,2008,https://boxd.it/1Ob0,0.5
2020-04-11,Fantasia,1940,https://boxd.it/29HG,4.5
2020-04-11,The Sword in the Stone,1963,https://boxd.it/1ZdG,3
2020-04-13,Rise of the Guardians,2012,https://boxd.it/2PXw,3
2020-04-23,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2020-04-24,School of Rock,2003,https://boxd.it/28xK,3
2020-04-24,Gnomeo & Juliet,2011,https://boxd.it/OKi,2
2020-04-26,Paddington,2014,https://boxd.it/3RKw,3.5
2020-05-01,The Godfather,1972,https://boxd.it/2aNK,4.5
2020-05-04,The Godfather Part II,1974,https://boxd.it/2aNq,5
2020-05-10,Eighth Grade,2018,https://boxd.it/hDMG,4.5
2020-05-13,The Godfather Part III,1990,https://boxd.it/2aN6,2.5
2020-05-13,Once Upon a Deadpool,2018,https://boxd.it/kOfE,3
2020-05-29,The Terminator,1984,https://boxd.it/2aQY,4
2020-06-01,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4.5
2020-06-03,Aliens,1986,https://boxd.it/29PA,4.5
2020-06-05,Seven Psychopaths,2012,https://boxd.it/34PW,4
2020-06-08,John Wick,2014,https://boxd.it/7dEc,3.5
2020-06-11,John Wick: Chapter 2,2017,https://boxd.it/ayGu,4
2020-06-12,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,4
2020-06-12,Gravity,2013,https://boxd.it/GZY,3.5
2020-06-12,Frozen,2013,https://boxd.it/3GNa,3.5
2020-06-12,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,3
2020-06-12,Kung Fu Panda,2008,https://boxd.it/1Yws,3.5
2020-06-12,Chicken Little,2005,https://boxd.it/1Xnu,3.5
2020-06-12,Green Book,2018,https://boxd.it/hErk,3
2020-06-12,We Bought a Zoo,2011,https://boxd.it/2AU8,3
2020-06-12,Pitch Perfect 3,2017,https://boxd.it/bUre,2.5
2020-06-12,Bedtime Stories,2008,https://boxd.it/1WPM,2.5
2020-06-14,Middleditch & Schwartz,2020,https://boxd.it/pV28,5
2020-06-16,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3.5
2020-06-16,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5
2020-06-16,The Disaster Artist,2017,https://boxd.it/cTqc,4
2020-06-17,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2020-06-29,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2020-06-29,Cloverfield,2008,https://boxd.it/2192,3
2020-07-01,About Time,2013,https://boxd.it/43bI,4.5
2020-07-11,The Heat,2013,https://boxd.it/4p9a,2.5
2020-07-11,Identity Thief,2013,https://boxd.it/3GOW,2
2020-07-11,Hot Pursuit,2015,https://boxd.it/83Vu,2
2020-07-11,Liar Liar,1997,https://boxd.it/28sg,3
2020-07-11,Cheaper by the Dozen,2003,https://boxd.it/1USa,2.5
2020-07-11,Cheaper by the Dozen 2,2005,https://boxd.it/1Yac,2.5
2020-07-11,Tammy,2014,https://boxd.it/6GOS,1
2020-07-11,22 Jump Street,2014,https://boxd.it/5Fvy,3
2020-07-14,The Social Network,2010,https://boxd.it/17ue,5
2020-07-21,13th,2016,https://boxd.it/elNg,4.5
2020-08-05,Dunkirk,2017,https://boxd.it/d0Y6,4
2020-08-05,Memento,2000,https://boxd.it/2bcK,4.5
2020-08-15,Battleship,2012,https://boxd.it/QZ0,1
2020-08-19,The Secret Life of Walter Mitty,1947,https://boxd.it/12uI,3.5
2020-08-20,Lemonade,2016,https://boxd.it/dMMM,4.5
2020-08-27,Insomnia,2002,https://boxd.it/2aB0,3
2020-08-30,Tenet,2020,https://boxd.it/leq4,3.5
2020-08-31,Phineas and Ferb The Movie: Across the 2nd Dimension,2011,https://boxd.it/2ql8,3
2020-09-02,My Neighbor Totoro,1988,https://boxd.it/20eA,4.5
2020-09-02,Flushed Away,2006,https://boxd.it/1Tpm,3
2020-09-13,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,4
2020-09-21,Safety Not Guaranteed,2012,https://boxd.it/2Y3M,2.5
2020-09-22,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/2NF6,3
2020-09-22,Madagascar: Escape 2 Africa,2008,https://boxd.it/1W2K,3
2020-09-28,Bo Burnham: What.,2013,https://boxd.it/7au4,4
2020-09-28,Bo Burnham: Make Happy,2016,https://boxd.it/e436,4
2020-09-29,Foodfight!,2012,https://boxd.it/3Ti0,0.5
2020-11-01,Black Swan,2010,https://boxd.it/Sw0,5
2020-11-12,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4.5
2020-11-23,Enchanted,2007,https://boxd.it/24co,4
2020-11-23,Hairspray,2007,https://boxd.it/261M,3
2020-11-25,Cocoon,2020,https://boxd.it/opps,3.5
2020-12-13,Unicorn Store,2017,https://boxd.it/f05u,3.5
2020-12-14,The Princess and the Frog,2009,https://boxd.it/1WQq,4.5
2020-12-17,Noelle,2019,https://boxd.it/gdzE,1
2020-12-19,The Little Mermaid,1989,https://boxd.it/1WYO,3
2020-12-20,Dirty Computer,2018,https://boxd.it/iLhe,3.5
2020-12-23,Anna and the Apocalypse,2017,https://boxd.it/gwcE,2.5
2020-12-24,Mickey's Once Upon a Christmas,1999,https://boxd.it/1Mj2,3
2020-12-26,Radio Rebel,2012,https://boxd.it/39mq,1
2020-12-26,16 Wishes,2010,https://boxd.it/12eU,1
2020-12-26,The Suite Life Movie,2011,https://boxd.it/f92,1
2020-12-26,Wizards on Deck with Hannah Montana,2009,https://boxd.it/2HCU,2.5
2020-12-27,Looper,2012,https://boxd.it/ham,4
2020-12-27,Shaun of the Dead,2004,https://boxd.it/29J8,4
2020-12-28,Booksmart,2019,https://boxd.it/igNS,4.5
2020-12-28,Hot Fuzz,2007,https://boxd.it/2416,4.5
2020-12-29,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,3.5
2020-12-30,The Pink Panther,2006,https://boxd.it/1Sys,3
2021-01-05,Captain America: The First Avenger,2011,https://boxd.it/28b0,3.5
2021-01-06,Captain Marvel,2019,https://boxd.it/9vSA,3
2021-01-06,Iron Man,2008,https://boxd.it/28dA,3.5
2021-01-07,The Incredible Hulk,2008,https://boxd.it/28dU,1.5
2021-01-07,Thor,2011,https://boxd.it/1WQU,2
2021-01-07,The Critic,2018,https://boxd.it/m6cU,3.5
2021-01-08,Thor: The Dark World,2013,https://boxd.it/2DqA,2
2021-01-08,Tooth Fairy,2010,https://boxd.it/1zKE,1.5
2021-01-09,Iron Man 3,2013,https://boxd.it/2cBQ,3
2021-01-09,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4.5
2021-01-11,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3.5
2021-01-12,Ant-Man,2015,https://boxd.it/3vmW,3.5
2021-01-13,Black Panther,2018,https://boxd.it/8MHs,4
2021-01-17,Wonder Woman 1984,2020,https://boxd.it/gBtA,1.5
2021-01-18,Minions,2015,https://boxd.it/6jCO,1
2021-01-18,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,3
2021-01-18,Transformers,2007,https://boxd.it/280c,2.5
2021-01-18,Shrek the Third,2007,https://boxd.it/29yY,1.5
2021-01-18,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC,2
2021-01-18,Ice Age,2002,https://boxd.it/2apS,3
2021-01-18,Ice Age: The Meltdown,2006,https://boxd.it/2wRk,2
2021-01-19,Paterson,2016,https://boxd.it/cRk2,3.5
2021-01-20,Meshes of the Afternoon,1943,https://boxd.it/1sEE,4
2021-01-20,Only Lovers Left Alive,2013,https://boxd.it/4O1U,4.5
2021-01-26,The Florida Project,2017,https://boxd.it/dMG0,5
2021-01-26,Donnie Darko,2001,https://boxd.it/2b2A,3.5
2021-01-26,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/1zgk,1
2021-01-26,Kung Fu Panda 2,2011,https://boxd.it/G36,2.5
2021-01-26,Kung Fu Panda 3,2016,https://boxd.it/4uRQ,1.5
2021-02-02,Arthur and the Invisibles,2006,https://boxd.it/1Xm2,1.5
2021-02-03,If Beale Street Could Talk,2018,https://boxd.it/gGhu,4.5
