Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-01-08,Thor: The Dark World,2013,https://boxd.it/1zvkyx,2,Yes,Kat Denning’s “Meow Meow” line is cinema,,2021-01-08
2021-01-09,Iron Man 3,2013,https://boxd.it/1zzert,3,Yes,"You know I still love that mandarin reveal, Ben Kingsley sells it so well",,2021-01-08
2021-01-09,Captain America: The Winter Soldier,2014,https://boxd.it/1zA84l,5,Yes,"This movie is a masterpiece, the characters, the writing, the plot, the pacing, the incredible score, everything. The Steve and Natasha relationship might be my favourite in the MCU, it’s so natural and their characters compliment each other so well",,2021-01-08
2021-01-09,Guardians of the Galaxy,2014,https://boxd.it/1zD2gr,4.5,Yes,Music. Yes.,,2021-01-08
2021-01-10,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/1zOkPr,4,Yes,More Music. More Family. More Drax (and Mantis),,2021-01-09
2021-01-11,Avengers: Age of Ultron,2015,https://boxd.it/1zZM67,3.5,Yes,Are elevators worthy?,,2021-01-11
2021-01-12,Ant-Man,2015,https://boxd.it/1A59xF,3.5,Yes,"I love Christophe Beck’s score for this movie, it perfectly blends heist films with superhero elements",,2021-01-11
2021-01-12,Captain America: Civil War,2016,https://boxd.it/1A8WiP,5,Yes,"The Russo Brothers are genuinely incredible, this movie ties together so many stories and makes them work, it introduces new characters and makes it work, it has a political plot that could have been boring but THEY MAKE IT WORK. Honestly I had so much fun rewatching this, it’s a practically perfect film. The Captain America Trilogy is the best trilogy hands fucking down",,2021-01-12
2021-01-13,Spider-Man: Homecoming,2017,https://boxd.it/1AfXBd,4,Yes,John Hughes mixed with a fun superhero story what’s not to like,,2021-01-12
2021-01-13,Black Panther,2018,https://boxd.it/1AhSZt,4,Yes,"Ludwig Gordonson’s score is fantastic, with this, the Mandalorian and Tenet, he’s made some amazing stuff. The set design and world building in this movie are incredible, the technology, the characters, the costumes, it gives a fresh take on the MCU. Michael B. Jordan is amazing and his motive is justified and written in such an understandable and sad way that it’s easy to see his view, his final line is also upsetting and beautiful.

The marvel intro dedicated to Chadwick was also touching",,2021-01-12
2021-01-13,Doctor Strange,2016,https://boxd.it/1AlyM3,3.5,Yes,Bless Tilda Swindon,,2021-01-13
2021-01-14,Thor: Ragnarok,2017,https://boxd.it/1Ao3zX,4,Yes,“Sun’s getting real low” Chris Hemsworth had to much fun with that line,,2021-01-13
